"anx1" "anx2" "anx3" "anx4" "anx5" "anx6" "anx7" "anx8" "anx9" "anx10" "ang1" "ang2" "ang3" "ang4" "ang5" "ang6" "ang7" "ang8" "ang9" "ang10" "fre1" "fre2" "fre3" "fre4" "fre5" "fre6" "fre7" "fre8" "fre9" "fre10" "greg1" "greg2" "greg3" "greg4" "greg5" "greg6" "greg7" "greg8" "greg9" "greg10" "img1" "img2" "img3" "img4" "img5" "img6" "img7" "img8" "img9" "img10" "art1" "art2" "art3" "art4" "art5" "art6" "art7" "art8" "art9" "art10" "trst1" "trst2" "trst3" "trst4" "trst5" "trst6" "trst7" "trst8" "trst9" "trst10" "alt1" "alt2" "alt3" "alt4" "alt5" "alt6" "alt7" "alt8" "alt9" "alt10" "ord1" "ord2" "ord3" "ord4" "ord5" "ord6" "ord7" "ord8" "ord9" "ord10" "sed1" "sed2" "sed3" "sed4" "sed5" "sed6" "sed7" "sed8" "sed9" "sed10"
"R_1CJzJC81C8lhmai" 1.87957522277197 -10.9415258964936 5.9688319794196 11.9219635791234 1.13664428484153 0.716428592758149 12.5785716108668 12.0312148795309 0.218372611153455 -14.4148913549528 -8.12499336867711 12.0474572826419 0.343993057570653 -9.70469693833064 9.76946356136961 10.3771543949535 -9.74345523604006 5.01733379353996 -0.00609273594874704 2.55719144039944 6.51168420329495 10.0601117994412 3.09043112566967 -9.69817387537495 1.66259190192066 3.14396523820093 6.93641567570513 -13.6682956739311 -9.43611706624182 12.1964167303474 -7.74946566585868 10.488562028977 0.934587768101025 8.73946801996975 6.11729504842525 -11.5954821241065 1.66885252483552 4.81213876761207 11.3392450394327 0.855224072972185 -9.97738594242009 -10.7541818640364 4.37012990592801 12.4428588641616 0.857469141186979 1.75869256421874 -9.07443727278405 11.7331488763446 3.63330361081867 6.84900535953446 11.1225326208806 1.58519346413529 5.25873770466946 -8.62301284103324 5.96109200806504 3.1489413546918 1.47146267360582 -9.59849077607743 -7.80896698920509 1.46173899204624 6.21432274751359 11.090921037415 2.31671261608582 -9.02840658450907 -12.8435900197891 8.26767144798649 0.444515238141943 9.44014354654354 0.156864667151993 -7.39291989035064 5.49816506900272 9.72406784037452 11.6499764390868 3.64048721146281 -9.1911334852457 7.94692062785609 7.78289891200566 5.64301024103101 -0.000150478542954247 0.308806382340514 10.8743496073469 -13.3750612677092 0.641874481385873 0.304225672240509 3.88892454908644 3.63559288054637 -13.9038630256536 10.9370398367639 2.04089788625588 2.88704436836902 8.11805003644946 3.17020165796821 3.21094210806022 0.896598177161387 9.074038213856 2.63645462260945 0.314926071250511 11.4019513851842 11.7544306727549 9.1644386410378
"R_AbNDgyP6aTL2Xgl" 5.47842833343861 20.5434706635695 0.418443025967029 13.0998212846639 1.93855652663897 3.98338661092434 0.363808762663496 19.7091174325464 0.160972761697579 8.12652618415727 10.5407354360263 10.1622710973998 10.4865165385577 18.1333680824007 16.2092950819315 18.4149211554904 5.27248588044921 6.14088556816391 15.0225142962505 0.0231199278967011 3.91864042226044 0.343432023655424 2.29815093152095 14.4022794979752 3.32052334995633 18.6628996219077 10.0278689893374 15.7900234480138 18.3259662609529 6.51572886586447 4.28862225531516 0.673004994453194 17.9953385376519 20.2486862183936 17.9601566002062 10.5449083673677 12.6347975999904 9.12265108294298 12.9606054341324 10.8780892231445 19.2078744584731 0.448102830429541 2.04998119570978 0.47720451339849 0.250994036953209 0.546615082798123 19.5069027916799 10.6522577388247 20.0598450703056 4.61671936703479 0.45482117121351 5.61466386416498 5.81117282847018 4.34229404648383 2.98436503741915 2.92035653832063 12.4509082021856 10.7096818620577 17.528159626059 10.3589720801238 12.3804107001571 14.9970189063087 0.302946188084046 18.1425438970082 15.2702273285204 8.42582934861073 1.69916584737332 0.40384540417455 -0.000800909737772582 10.9023885201589 1.42903193531938 16.5781545536545 16.8851044685769 8.75775333530909 2.32355596052113 16.5120717790551 0.401516368920426 17.3608600150082 18.9041167649715 10.4717572084597 14.8740947480661 3.50198536292814 0.646472113392576 11.1489974359824 8.60480755149116 17.147008380789 18.483583653455 9.9337101124714 2.59686666633294 0.628539362379016 9.45273289161878 12.6946642181936 4.76710970505543 16.1165128653133 16.8242826009428 9.96798859343059 2.11550037571138 -0.0437652235004204 0.101762099111742 2.72537715398616
"R_3PLgIw9L1GB8GAp" 12.6652724607392 4.54578822693378 -1.94294486084218 1.55758826865588 -1.47026535179593 1.54152666694954 1.61130152183087 14.0843919028153 -0.719778727985243 21.4079042173128 -2.97739918599185 26.1939522963448 14.2497489278012 -1.00158947621034 2.61470611513739 -1.04479293946322 -2.94718750701764 -1.00241222738563 -1.6817637148915 17.9526856470969 25.1986703441639 3.79618643366391 -1.27330249054022 24.3708869344666 10.2619201539284 17.2690396332926 18.0391628473692 26.4239839471404 12.2538238659689 25.64740201314 -1.77639060447272 24.7903648784033 16.6628453129991 23.6557988843745 -1.23792482783996 -2.02873380378551 23.8476853166567 23.3934989310758 21.478930266907 0.940051019676815 11.4994332131233 22.6087041136755 10.1023309347378 -0.901428186864422 13.2510349821735 23.3393650265441 12.5627997279139 -2.12950105710598 -1.7223088507855 25.6960476352881 1.51368579039185 -1.7824696555107 4.13962300557066 -0.518762165936153 11.7981383518593 1.18947583438093 16.7250082192402 0.836462800867707 25.679069417826 25.5441392050045 21.8770062762797 13.5679912903618 22.5359812661637 18.3182492229228 9.6171391384305 5.12750398529064 24.5098284673995 3.31860542410266 7.06203129537886 16.318721442567 -0.964724358287953 0.0177497689981791 10.0295570927531 -1.71080869556694 5.85170177119051 23.8233449367348 -1.83334929205093 -1.37557379464976 0.278951234713269 24.2383673067362 -1.30203722475705 24.3303056865217 4.93089313266032 19.9674241176854 24.3301067173078 3.08432489040698 -2.99393695111477 -0.00077946516124916 4.36347257739013 10.3783614586934 -2.26357862341857 13.8560606743546 25.8287979075027 9.17677228304078 17.5140841046929 9.91929841370518 26.2512884537801 9.83252673414745 12.9934645889864 22.0638846220581
"R_vCU7eGJe0RvjlCx" -1.65641982225651 -0.932603058847725 0.527835053623093 5.8193528930058 2.97042162135654 0.676893149573232 1.85555505161916 -0.299579511486908 4.24294407221629 3.32230195062881 4.43971242569734 2.20831633162595 4.19763723422446 2.89073439418257 -0.332063444245998 4.60564917055905 4.57380741242474 3.68744808356865 -0.885039510644127 0.439222094328571 2.67376998916804 0.822154974046356 -0.987121854288716 6.52824300149999 3.14841704315586 5.12477693714851 2.59477263125106 4.69315216554824 2.72765286537737 -0.913836797945095 5.66645093414346 3.48603709046526 0.74435116755285 0.735779840589942 -0.125888251801162 5.59864127787159 -0.000241135632259137 0.503071285620194 4.94401331663875 0.357136423835044 3.87025865587734 -2.43129304891625 -0.150545547606612 4.90373787366048 4.70244432111932 -0.142880450343291 5.65021752896828 1.56128145666108 -0.173549020314738 -0.21476918637854 0.191876578600741 -0.903305367740614 0.515998721669078 5.45754387575479 0.50098646142817 -0.991475288962157 0.505623913369959 4.23279714365546 4.73799210207392 0.076734150935323 2.1647133226783 0.136657766968369 4.74950091246495 -0.962371803626851 -0.500701805736291 0.185681194879621 3.99601533920844 5.15830365881823 -1.23082596994539 -0.412353279795184 3.37536831439434 -2.72450103841709 4.66299818259864 1.88184324350233 -0.0166361803076285 5.48934984214523 3.50888159756593 4.30807915246581 -0.967501206313386 6.4607500854286 4.99425049855139 3.46511510421001 6.4254203454835 -0.754873305775007 0.38213749472726 4.44908210347518 5.81482090214624 5.98902814717752 -3.23304950805016 -1.11565149571678 4.50225945398154 -1.17756949996767 -0.283848096249759 6.3024747439413 0.346491937608974 -0.278028385949334 -0.0547915842673916 6.77514203385564 1.80510794912273 6.52118179644438
"R_agVS5uNBWflgqxb" 0.597392679634149 -2.10283392476342 0.161142349917043 3.12895058737641 13.5533711688169 7.88395137481177 13.0818039170044 6.39758205926373 2.47718297513439 -0.0491609495815339 1.74442175747595 -1.17359662474561 11.6262952901006 -0.399404488978263 4.89944194341896 6.62459556589241 -0.103103419427612 0.518012587734887 4.70389849418473 0.613346246129602 -0.425435893295997 1.17047669877624 3.64820068576415 11.6265817735828 8.25282736203673 10.3453675056692 10.647051358344 7.78627398081358 -2.26345773022015 0.452886387002422 13.0622773585619 1.17047432753029 1.64162561444703 -0.767504604383163 9.39001982730264 1.03314217359041 0.784426042865874 12.4729270101241 -1.18223107521234 0.394622025963415 10.8649672272857 3.80911487733098 0.146692220600201 2.63855655103612 -0.183431135842227 1.01804908902366 0.776183976406628 0.14548943725427 12.2668097268847 -0.678332467157475 0.606910524348912 9.07452026875103 12.8668482088377 10.9999542202979 -2.21106027916576 -0.241629322414752 -2.00243245376927 -0.153876707320812 1.96797532150243 3.73556772124886 -1.0505176439037 -2.51976241135043 8.16904267181144 12.1529257101367 -1.63013600403099 2.2926142535569 0.328184955002712 8.99577842594698 14.0880725050724 13.5389096549022 4.19379726436335 4.54219791530957 2.78047691047195 1.75720399906126 -0.207992109564074 8.57758275528127 2.85684857098175 0.341535712469181 6.41805742782719 0.948832094109779 9.95941091088662 8.63789883247637 -0.0516413306630454 -2.38792413421935 9.83905101160752 2.45750583183232 10.5224732984757 3.60765350290671 3.47425672323638 0.124103547215079 -0.868526402589637 12.4753518480301 10.752769164669 -0.000733046962851702 13.6643495398856 3.81615808058106 13.1832091220721 1.10074075125402 -0.676673952139822 3.2154811998322
"R_zUwJfvtZfzdEtep" 20.8024212709428 25.9866132835532 19.2242668728335 26.403080583402 17.73580017348 36.4034482999151 17.5672888921371 9.25618130735722 8.76631092121588 10.0863350985565 12.4018049810335 24.2684188468958 5.41606359871813 2.06727792327765 25.494734760646 17.2420429323647 35.5716010904924 30.4160534792543 -0.0522252217106711 30.0447656826929 0.75275569570082 19.2497018908594 6.43785507682895 7.12935639116687 3.93993564959456 -0.0153530819131831 2.27440119358152 13.6934152994483 27.6224466724786 16.4451445622966 23.7587847973189 32.0516652808675 7.83443193872128 25.6790243166638 22.2178252207933 -0.0687038501033372 28.4161878924221 22.5445203682455 6.85375442738678 11.8653955655772 6.71966586499332 3.60321296176156 27.0399918547449 15.9743162640225 22.1483170667911 4.20293125151567 -0.00675040302310137 3.46469930219513 4.10375979830363 29.8328617625768 7.8864385305027 12.2985376781921 27.7254348137686 22.0033369804178 12.4634638457228 17.8739686326723 5.21364418169264 14.5217098594428 1.60673365419328 -0.000459841227623325 28.6832983051672 19.5337824603067 1.75637686725608 11.3666797014983 1.90680004681769 1.65709772109753 19.2362912762571 -0.426057289042092 11.1008011838813 1.4596822282038 -0.258632593884816 14.7561877165222 33.7163566968932 12.2612634178433 3.1028081223719 14.6647218147363 31.1276077832815 5.62202442591555 15.5044649995042 15.0244069670139 32.2709894774405 8.55982275705138 35.1948020159157 6.41155092437589 0.358632265311947 0.180599002911375 22.9343153867245 7.3823835001627 4.26670022600447 9.62569607071885 9.1225776373573 33.3370023993999 18.6870535068209 12.5009655088511 12.5543037302972 30.6356463287657 30.1676925974541 5.08313639418272 28.6059270093907 21.3103797506417
"R_1DqnhyfwWojmbBh" 19.2637232496723 19.250959850008 -0.800218911628761 18.1955452481708 40.613951134758 7.05535665462335 1.64460208541498 0.00251914767535233 -0.45239672399882 18.0707253101621 18.0138271114212 19.4256372442499 40.532046621852 44.0390505358717 43.7031117931099 7.97834349425895 18.0232357448175 43.5127628515949 6.47047397410131 18.6401247240379 7.21606166324224 47.6229337312653 5.15084288280995 43.6837579111854 42.318618878035 33.551956967921 19.3678923980568 6.73511160933613 46.2880929047119 8.84654533884012 5.07759937232903 11.6622128348621 19.3055384343156 8.40646912580682 6.36986857480059 8.06002887191389 30.7104850442414 33.4678274930421 22.8962593152302 5.57943267212769 31.5342478506146 3.18601335184695 44.197671462984 34.2830534745081 5.07606472069152 17.6424886016531 9.75224222847942 42.4185835132005 43.9673366399907 30.2236408155044 22.694084397594 7.48828243113441 4.28362614759674 17.1805286603669 1.82288061918317 14.4391949669745 18.7984732726745 -0.177104579767473 41.7873670038844 5.41095557367206 12.139681329925 40.9635653732943 29.521452873441 3.56346344050186 32.7334280194141 19.4671910792022 40.686062908516 19.3530554878615 10.0313190751454 -0.549382941353709 32.3027302036931 17.1315651100463 34.3250689720286 22.8117036917849 19.7210482917579 6.91577803794473 19.2907717200585 6.75966262184659 7.84429394337866 0.194612725346156 10.969507090157 32.6782827787094 32.2683196498254 19.2618447483485 7.73922813902335 7.67627568381033 9.19346005999071 4.81405393463604 23.6780536433389 46.8901489934145 36.0762377507482 17.8641413359118 9.47522608747013 10.4672997797291 44.3585999575865 4.74053913850342 7.51622937975216 22.3080145713718 40.6673836865971 28.7546087281012
"R_tKktBxWdWocEZc5" 11.3970124212899 16.6968812738408 10.9796374713947 9.98807282486213 12.1742722423212 0.327980462564945 24.1966574997299 4.15637380632796 9.38324303092683 5.14712175817672 11.6250575826112 11.7695476944432 12.6990870922899 18.6964633689235 0.169293159407271 12.5255978392045 1.95017064697672 25.3795030110334 25.4141867767536 -0.0630668544973432 9.81515921068787 5.90182573418238 14.7762707315854 0.414279138702806 7.73671232306241 4.26052780574375 18.4540350517925 21.0630924878571 22.2735182394668 4.48573734101112 -0.0213239273603847 3.99474058977313 24.7258007592162 25.1908409961031 10.0923272232641 0.293569758789992 16.3741633167593 14.8869584488517 20.6927227606394 4.86397815836621 2.3805712626292 15.2117465710377 4.82652272437902 14.9731950493295 0.0403858020527821 7.99186805354917 12.6645455093514 15.8270293865697 2.0333946404249 0.601270795085853 0.122945357529559 24.9619999154869 1.70231832935831 19.7169472406135 -0.00461756498188137 16.0342256240342 0.833091859756095 25.1115295031462 12.3130566722627 23.8787000696126 10.0902694059759 12.1013893626984 14.2032229443548 24.907585289519 14.615750950118 9.43019921967931 15.2180871007907 24.7073857213046 3.06040420926261 12.121902057959 24.9857307012304 14.0402896852555 23.5084531821326 18.0336387460329 24.0331811061996 25.1612065265637 10.7227597874745 24.5842283652554 -0.000150478542954247 11.2821203006828 24.9234132035373 3.30093486172103 18.4921819137073 9.62135603215843 0.119053913328233 8.94634658249339 14.5487041558512 17.9870257694545 0.044216220061891 18.8316011002342 11.8436365453215 0.308366759873653 -0.0294699808291634 0.282586269392716 1.87244199340272 0.386012924530188 9.38191963405687 19.8713393908646 9.53748813419134 4.81534781553351
"R_33DTQrkGc6Jnlba" 1.06185554462367 2.18258864359115 15.6294730239397 13.6337890098944 14.0867897122262 10.9834183790674 0.356733143048825 -0.575950800580401 2.12259805681106 1.37614318635769 0.836133615436573 -0.523948213825676 6.28883119444683 15.7998570110512 5.19592427644847 6.16204975074396 -0.42916340148517 15.1488272969458 8.68570309503278 15.8506654124585 2.02553558849532 0.471966093621795 1.08235019750183 15.4007817871515 5.61950367641785 1.68231964598834 0.47643433667794 -0.715193652515339 19.3774572709542 0.482844326461475 0.357270018956587 13.4859942974373 17.0504808000341 20.7240617076356 15.5837893259607 14.246277855106 4.8782963481342 5.84992734151862 1.8946279917905 10.901249048994 5.0189145699303 4.81904364172075 13.5902516430218 5.40162758752922 0.917654676060124 0.429188767156404 0.00870698545627313 13.4504351461872 -0.167796874766125 15.9323753687584 4.77468279895638 -0.0519364395050754 14.3330430146182 1.60909082926987 13.9115271971637 -0.000277602474396232 5.29186784930502 0.616971982066982 20.8171018461004 5.02542731039054 12.7469580034237 11.7415698394989 5.01612022668931 0.208365536315197 5.02739645322617 2.51162858305483 20.3267910149823 6.57405273315933 0.721282490069399 2.72283653887806 13.9305785959505 0.428628088488963 16.5095834788057 -0.0872700256471717 15.542391385452 15.8029082016015 1.46510157722902 0.58465138896571 1.21319634402187 0.629312028251242 10.9645373466598 12.8794687412608 13.5680132801084 4.49558022873762 20.0279000216678 11.5582882047401 16.1703296097318 14.6965948874268 5.91029731615149 0.303290798653606 1.54246420912693 1.75832891058267 12.9910950384316 14.2234800649566 11.3268197421279 0.163110914581054 1.78326814398892 17.9440961648813 1.22834080395289 -0.172450388244016
"R_yQRGijG9bGS0q2t" 5.53489876592801 5.34064327500226 0.607320297835443 5.6397212856341 3.28897599283596 0.223009583148652 1.09582104263824 6.06007105137704 0.170138582423007 -0.456775082683869 -0.0561329269432349 1.55961426267726 4.82307190114564 1.95662326886259 -0.30407240684832 5.34800550320159 5.37240044336076 5.98361206727088 0.00561297558305007 6.67759990958868 7.29238877112266 -0.506237144040291 5.05573067919156 5.67082809098193 5.7817141350354 5.50056913606565 3.43144093063449 5.32792100796399 -0.0503325788882023 4.03696557931653 3.76660864977814 0.797038078065214 6.56102022348512 3.4070055635836 3.10325069460188 4.35523980249124 0.186077966235317 4.28684446648492 0.192056434482197 0.824149927012058 2.85549019067827 -0.588609460708295 0.915288378690533 4.99068346192846 -0.455109172502908 5.66317032924982 4.11107222878053 5.84957613824395 3.55574892894714 4.07484222695626 4.79791656921765 8.19556848536962e-05 0.335905492271273 -0.183338583241053 7.86228018207674 5.50298684694096 4.17590319751072 0.0732313801710021 1.97290505986794 3.83221755786633 6.9998411342749 1.62979306989371 -0.644476227285633 0.0533839462366732 5.60637815607328 5.75833538434722 3.63127471414663 0.497601618204669 -0.583070211298569 0.867060433555125 -0.529186454130404 0.863663632301012 1.53010459030347 3.08958093338197 1.9461822876531 0.138624479540507 -0.625215588684377 0.2593470529686 4.02942177896018 0.808729394847845 0.0546600378905993 0.700043163213394 5.72722357450263 3.7343886356789 0.264453532245383 4.94778254695903 3.72286518094691 3.38130843234964 4.95448922633398 0.435299717101046 -0.461274563888704 5.42370946533234 3.06063152697936 0.000482498936570153 -0.000950290038053581 4.86332583972884 3.97487837824849 -0.520824512875002 3.40429418054532 6.50591619488813
