V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q7,Q8_1_TEXT,Q8_2_TEXT,Q8_3_TEXT,Q8_4_TEXT,Q8_5_TEXT,Q8_6_TEXT,Q8_7_TEXT,cond1,cond2,cond3,cond4,anx1,anx1_t_1,anx1_t_2,anx1_t_3,anx1_t_4,anx2,anx2_t_1,anx2_t_2,anx2_t_3,anx2_t_4,anx3,anx3_t_1,anx3_t_2,anx3_t_3,anx3_t_4,anx4,anx4_t_1,anx4_t_2,anx4_t_3,anx4_t_4,anx5,anx5_t_1,anx5_t_2,anx5_t_3,anx5_t_4,anx6,anx6_t_1,anx6_t_2,anx6_t_3,anx6_t_4,anx7,anx7_t_1,anx7_t_2,anx7_t_3,anx7_t_4,anx8,anx8_t_1,anx8_t_2,anx8_t_3,anx8_t_4,anx9,anx9_t_1,anx9_t_2,anx9_t_3,anx9_t_4,anx10,anx10_t_1,anx10_t_2,anx10_t_3,anx10_t_4,ang1,ang1_t_1,ang1_t_2,ang1_t_3,ang1_t_4,ang2,ang2_t_1,ang2_t_2,ang2_t_3,ang2_t_4,ang3,ang3_t_1,ang3_t_2,ang3_t_3,ang3_t_4,ang4,ang4_t_1,ang4_t_2,ang4_t_3,ang4_t_4,ang5,ang5_t_1,ang5_t_2,ang5_t_3,ang5_t_4,ang6,ang6_t_1,ang6_t_2,ang6_t_3,ang6_t_4,ang7,ang7_t_1,ang7_t_2,ang7_t_3,ang7_t_4,ang8,ang8_t_1,ang8_t_2,ang8_t_3,ang8_t_4,ang9,ang9_t_1,ang9_t_2,ang9_t_3,ang9_t_4,ang10,ang10_t_1,ang10_t_2,ang10_t_3,ang10_t_4,fre1,fre1_t_1,fre1_t_2,fre1_t_3,fre1_t_4,fre2,fre2_t_1,fre2_t_2,fre2_t_3,fre2_t_4,fre3,fre3_t_1,fre3_t_2,fre3_t_3,fre3_t_4,fre4,fre4_t_1,fre4_t_2,fre4_t_3,fre4_t_4,fre5,fre5_t_1,fre5_t_2,fre5_t_3,fre5_t_4,fre6,fre6_t_1,fre6_t_2,fre6_t_3,fre6_t_4,fre7,fre7_t_1,fre7_t_2,fre7_t_3,fre7_t_4,fre8,fre8_t_1,fre8_t_2,fre8_t_3,fre8_t_4,fre9,fre9_t_1,fre9_t_2,fre9_t_3,fre9_t_4,fre10,fre10_t_1,fre10_t_2,fre10_t_3,fre10_t_4,greg1,greg1_t_1,greg1_t_2,greg1_t_3,greg1_t_4,greg2,greg2_t_1,greg2_t_2,greg2_t_3,greg2_t_4,greg3,greg3_t_1,greg3_t_2,greg3_t_3,greg3_t_4,greg4,greg4_t_1,greg4_t_2,greg4_t_3,greg4_t_4,greg5,greg5_t_1,greg5_t_2,greg5_t_3,greg5_t_4,greg6,greg6_t_1,greg6_t_2,greg6_t_3,greg6_t_4,greg7,greg7_t_1,greg7_t_2,greg7_t_3,greg7_t_4,greg8,greg8_t_1,greg8_t_2,greg8_t_3,greg8_t_4,greg9,greg9_t_1,greg9_t_2,greg9_t_3,greg9_t_4,greg10,greg10_t_1,greg10_t_2,greg10_t_3,greg10_t_4,img1,img1_t_1,img1_t_2,img1_t_3,img1_t_4,img2,img2_t_1,img2_t_2,img2_t_3,img2_t_4,img3,img3_t_1,img3_t_2,img3_t_3,img3_t_4,img4,img4_t_1,img4_t_2,img4_t_3,img4_t_4,img5,img5_t_1,img5_t_2,img5_t_3,img5_t_4,img6,img6_t_1,img6_t_2,img6_t_3,img6_t_4,img7,img7_t_1,img7_t_2,img7_t_3,img7_t_4,img8,img8_t_1,img8_t_2,img8_t_3,img8_t_4,img9,img9_t_1,img9_t_2,img9_t_3,img9_t_4,img10,img10_t_1,img10_t_2,img10_t_3,img10_t_4,art1,art1_t_1,art1_t_2,art1_t_3,art1_t_4,art2,art2_t_1,art2_t_2,art2_t_3,art2_t_4,art3,art3_t_1,art3_t_2,art3_t_3,art3_t_4,art4,art4_t_1,art4_t_2,art4_t_3,art4_t_4,art5,art5_t_1,art5_t_2,art5_t_3,art5_t_4,art6,art6_t_1,art6_t_2,art6_t_3,art6_t_4,art7,art7_t_1,art7_t_2,art7_t_3,art7_t_4,art8,art8_t_1,art8_t_2,art8_t_3,art8_t_4,art9,art9_t_1,art9_t_2,art9_t_3,art9_t_4,art10,art10_t_1,art10_t_2,art10_t_3,art10_t_4,trst1,trst1_t_1,trst1_t_2,trst1_t_3,trst1_t_4,trst2,trst2_t_1,trst2_t_2,trst2_t_3,trst2_t_4,trst3,trst3_t_1,trst3_t_2,trst3_t_3,trst3_t_4,trst4,trst4_t_1,trst4_t_2,trst4_t_3,trst4_t_4,trst5,trst5_t_1,trst5_t_2,trst5_t_3,trst5_t_4,trst6,trst6_t_1,trst6_t_2,trst6_t_3,trst6_t_4,trst7,trst7_t_1,trst7_t_2,trst7_t_3,trst7_t_4,trst8,trst8_t_1,trst8_t_2,trst8_t_3,trst8_t_4,trst9,trst9_t_1,trst9_t_2,trst9_t_3,trst9_t_4,trst10,trst10_t_1,trst10_t_2,trst10_t_3,trst10_t_4,alt1,alt1_t_1,alt1_t_2,alt1_t_3,alt1_t_4,alt2,alt2_t_1,alt2_t_2,alt2_t_3,alt2_t_4,alt3,alt3_t_1,alt3_t_2,alt3_t_3,alt3_t_4,alt4,alt4_t_1,alt4_t_2,alt4_t_3,alt4_t_4,alt5,alt5_t_1,alt5_t_2,alt5_t_3,alt5_t_4,alt6,alt6_t_1,alt6_t_2,alt6_t_3,alt6_t_4,alt7,alt7_t_1,alt7_t_2,alt7_t_3,alt7_t_4,alt8,alt8_t_1,alt8_t_2,alt8_t_3,alt8_t_4,alt9,alt9_t_1,alt9_t_2,alt9_t_3,alt9_t_4,alt10,alt10_t_1,alt10_t_2,alt10_t_3,alt10_t_4,ord1,ord1_t_1,ord1_t_2,ord1_t_3,ord1_t_4,ord2,ord2_t_1,ord2_t_2,ord2_t_3,ord2_t_4,ord3,ord3_t_1,ord3_t_2,ord3_t_3,ord3_t_4,ord4,ord4_t_1,ord4_t_2,ord4_t_3,ord4_t_4,ord5,ord5_t_1,ord5_t_2,ord5_t_3,ord5_t_4,ord6,ord6_t_1,ord6_t_2,ord6_t_3,ord6_t_4,ord7,ord7_t_1,ord7_t_2,ord7_t_3,ord7_t_4,ord8,ord8_t_1,ord8_t_2,ord8_t_3,ord8_t_4,ord9,ord9_t_1,ord9_t_2,ord9_t_3,ord9_t_4,ord10,ord10_t_1,ord10_t_2,ord10_t_3,ord10_t_4,sed1,sed1_t_1,sed1_t_2,sed1_t_3,sed1_t_4,sed2,sed2_t_1,sed2_t_2,sed2_t_3,sed2_t_4,sed3,sed3_t_1,sed3_t_2,sed3_t_3,sed3_t_4,sed4,sed4_t_1,sed4_t_2,sed4_t_3,sed4_t_4,sed5,sed5_t_1,sed5_t_2,sed5_t_3,sed5_t_4,sed6,sed6_t_1,sed6_t_2,sed6_t_3,sed6_t_4,sed7,sed7_t_1,sed7_t_2,sed7_t_3,sed7_t_4,sed8,sed8_t_1,sed8_t_2,sed8_t_3,sed8_t_4,sed9,sed9_t_1,sed9_t_2,sed9_t_3,sed9_t_4,sed10,sed10_t_1,sed10_t_2,sed10_t_3,sed10_t_4,bs1,bs1_t_1,bs1_t_2,bs1_t_3,bs1_t_4,bs2,bs2_t_1,bs2_t_2,bs2_t_3,bs2_t_4,cond3,cond3_t_1,cond3_t_2,cond3_t_3,cond3_t_4,cond4,cond4_t_1,cond4_t_2,cond4_t_3,cond4_t_4,gender1,gender1_t_1,gender1_t_2,gender1_t_3,gender1_t_4,age1,age1_t_1,age1_t_2,age1_t_3,age1_t_4,subj1,subj2,subj_t_1,subj_t_2,subj_t_3,subj_t_4,fin1,fin2,fin3,fin4,fin5,fin6,fin6_t_1,fin6_t_2,fin6_t_3,fin6_t_4,fin8,fin8_t_1,fin8_t_2,fin8_t_3,fin8_t_4,Q242,Q243,Q244,DO-BR-FL_9,DO-BR-FL_120,DO-BR-FL_118,DO-BR-FL_430,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Informed Consent The Department of Psychology at the University of Kansas supports the practice o...,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-Flash Version,Browser Meta Info-Java Support,Browser Meta Info-User Agent,The following pages contain phrases describing people's behaviors. Please use the rating scale to...,The following pages contain phrases describing people's behaviors. Please use the rating scale to...,The following pages contain phrases describing people's behaviors. Please use the rating scale to...,The following pages contain phrases describing people's behaviors. Please use the rating scale to...,I worry about things.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I fear the worst.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am afraid of many things.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I get stressed out easily.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I get caught up in my problems.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am not easily bothered by things.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am relaxed most of the time.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am not easily disturbed by events.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I don't worry about things that have already happened.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I adapt easily to new situations.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I get angry easily.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I get irritated easily.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I get upset easily.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am often in a bad mood,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I loose my temper.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I rarely get irritated.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I seldom get mad.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am not easily annoyed.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I keep my cool.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I rarely complain.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I make friends easily.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I warm up quickly to others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I feel comfortable around people.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I act comfortably with others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I cheer people up.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am hard to get to know.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I often feel uncomfortable around others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I avoid contact with others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am not really interested in others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I keep others at a distance.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I love large parties.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I talk to a lot of different people at parties.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I enjoy being part of a group.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I involve others in what I am doing.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I love surprise parties.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I prefer to be alone.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I want to be left alone.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I don't like crowded events.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I avoid crowds,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I seek quiet.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I have a vivid imagination.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I enjoy wild flights of fantasy.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I love to daydream.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I like to get lost in thought.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I indulge my fantasies.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I spend time reflecting on things.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I seldom daydream.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I do not have a good imagination.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I seldom get lost in thought.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I have difficulty imagining things.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I believe in the importance of art.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I like music.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I see beauty in things that others might not notice.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I love flowers.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I enjoy the beauty of nature.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I do not like art.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I do not like poetry.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I do not enjoy going to art museums.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I do not like concerts.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I do not enjoy watching dance performances.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I trust others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I believe that others have good intentions.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I trust what people say.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I believe that people are basically moral.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I believe in human goodness.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I distrust people.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I suspect hidden motives in others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am wary of others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I believe that people are essentially evil.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I think that all will be well.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I make people feel welcome.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I anticipate the needs of others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I love to help others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am concerned about others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I have a good word for everyone.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I look down on others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am indifferent to the feelings of others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I make people feel uncomfortable.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I turn my back on others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I take no time for others.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I like order.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I like to tidy up.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"I want everything to be ""just right"".",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I love order and regularity.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I do things according to a plan.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I often forget to put things back in their place.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I leave a mess in my room.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I leave my belongings around.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am not bothered by messy people.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am not bothered by disorder.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I get chores done right away.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I am always prepared.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I start tasks right away.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count, I get to work at once.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I carry out my plans.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I find it difficult to get down to work.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I waste my time.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I need a push to get started.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I have difficulty starting tasks.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I postpone decisions. ,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,I was born on February 30th.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,The sun revolves around the earth.,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"We ask that you answer the rest of the questions with NO EFFORT AT ALL. But, we want to see if yo...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,We ask that you answer the rest of the questions with NO EFFORT AT ALL. Just respond to the quest...,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,What gender do you identify as?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,How many years old are you?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,What do you think this study was about?,Was there anything confusing about the study?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Finally, we are interested in learning about your experience taking the survey. Your truthful res...","Did you complete this study in one sitting, or were you interrupted (e.g., by a phone call or con...","Did you complete this study in a quiet space, free from distractions like loud noises, passing cr...","Did you complete this study in private, such that you felt free responding with your own thoughts...","Did you complete this study on a computer with a full screen or another device (tablet, phone) wi...",Did you open up any other webpages during this survey?,Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"If you were not answering accurately to the items in this survey, how were you responding?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Were you given additional instructions in the middle of the survey?,What were those instructions?,This is the end of the survey. Please go to the next page to receive your payment code. ,Display Order: Block Randomizer FL_9,Display Order: Block Randomizer FL_120,Display Order: Block Randomizer FL_118,Display Order: Block Randomizer FL_430,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1CJzJC81C8lhmai,Default Response Set,Anonymous,,,207.237.220.177,0,2018-11-10 16:12:34,2018-11-10 16:19:46,1,1,Chrome,70.0.3538.77,Windows NT 10.0,1536x864,-1,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",,,,1,5,1.437,1.437,1.822,1,2,0.808,0.808,1.164,1,4,1.967,2.951,3.326,2,4,1.503,1.503,1.866,1,3,2.009,2.009,2.393,1,2,0.935,0.935,1.258,1,4,1.768,1.768,2.38,1,2,2.966,2.966,3.416,1,3,0.78,0.78,1.141,1,1,1.051,1.051,1.385,1,3,0.61,0.61,0.894,1,3,0.698,0.698,1.324,1,4,3.183,3.183,3.698,1,6,0.336,0.336,0.758,1,3,6.582,6.582,7.057,1,3,1.413,2.597,3.009,2,4,0.305,0.305,0.671,1,3,1.861,4.284,4.647,2,5,1.785,1.785,2.267,1,2,2.097,2.097,2.462,1,3,2.34,2.34,2.763,1,3,1.719,1.719,2.147,1,4,1.753,1.753,2.119,1,4,0.658,0.658,1.122,1,5,1.898,1.898,2.214,1,5,1.714,1.714,2.04,1,4,1.681,1.681,2.074,1,6,0.708,0.708,1.127,1,4,0.759,3.009,3.338,2,5,1.432,1.432,1.815,1,6,0.787,0.787,1.096,1,3,3.409,3.409,3.79,1,3,2.377,2.377,2.8,1,4,2.696,2.696,3.153,1,2,1.571,1.571,1.896,1,6,0.356,0.356,0.759,1,4,2.013,2.013,2.418,1,6,2.789,2.789,3.128,1,5,1.348,1.348,1.648,1,6,2.473,2.473,2.915,1,1,1.03,1.03,1.389,1,6,0.765,0.765,1.073,1,3,1.807,1.807,2.215,1,3,2.278,2.278,2.619,1,3,1.77,3.045,3.427,2,5,1.72,4.723,5.116,4,5,0.975,0.975,1.278,1,3,0.302,0.302,0.917,1,2,1.724,1.724,2.061,1,2,1.797,1.797,2.785,1,5,1.835,1.835,2.195,1,5,0.935,0.935,1.302,1,5,3.106,3.106,3.397,1,5,0.817,0.817,1.115,1,6,2.263,2.263,2.579,1,2,1.651,1.651,1.987,1,4,1.737,1.737,2.135,1,1,0.918,0.918,1.231,1,6,0.525,1.823,2.096,2,2,3.221,3.221,3.715,1,4,1.5,4.014,4.474,2,3,1.121,1.121,2.912,1,4,1.89,1.89,2.242,1,1,0.823,0.823,1.191,1,3,1.193,1.193,1.511,1,5,0.786,0.786,1.178,1,3,1.531,3.911,4.419,2,4,1.204,1.204,1.569,1,2,1.771,1.771,2.2,1,2,0.673,0.673,1.003,1,5,1.182,1.182,1.532,1,5,1.062,2,2.348,2,4,2.784,2.784,5.259,1,1,0.845,0.845,1.174,1,1,0.838,0.838,1.223,1,4,0.689,0.689,1.442,1,1,2.467,2.467,2.804,1,2,1.631,1.631,1.961,1,1,1.993,1.993,2.475,1,1,2.084,2.084,2.514,1,5,1.423,2.656,3.18,2,4,1.298,1.298,1.661,1,4,1.915,1.915,2.239,1,5,2.507,2.507,2.928,1,5,1.764,2.944,3.266,2,2,2.117,2.117,2.553,1,3,0.857,1.895,2.221,2,2,2.748,2.748,3.145,1,2,2.413,2.413,2.846,1,2,1.995,1.995,2.696,1,4,2.799,2.799,3.137,1,4,1.971,1.971,2.308,1,4,1.586,1.586,1.913,1,4,2.303,3.845,4.236,2,5,1.657,2.954,3.286,2,4,0.685,0.685,1.02,1,6,0.92,0.92,1.201,1,2,0.9,0.9,1.326,1,3,1.056,1.056,1.695,1,3,1.935,1.935,2.322,1,1,0.563,4.806,5.315,2,1,2.113,5.101,6.499,3,,,,,,1,0,0,6.983,0,1,1.046,1.046,1.869,1,24,0.591,1.473,2.767,2,Learning about personalities,"Being told to not pay attention to the questions, and to just answer them randomly.",0.693,0.693,33.136,1,1,1,1,1,1,2,1.921,8.007,8.842,5,1,9.58,9.58,11.947,1,5,"Don't pay attention to the survey, just choose answers quickly. Don't even read the questions.",1,cond4,,,alt9|ang9|trst9|alt10|ord4|ang3|trst7|greg10|ord3|img5|sed4|greg3|anx5|art10|greg7|anx1|art2|fre5|art7|img6|ord9|ang10|trst3|ord10|sed3|fre3|fre6|art6|sed2|img9|ord6|ord5|img3|greg8|ang8|art3|alt1|alt8|bs2|art5|trst1|anx3|greg5|fre1|img10|fre7|alt7|sed1|greg4|sed5|sed10|trst8|alt2|ang5|fre2|ang6|greg2|ord1|ord8|art1|greg9|anx8|img4|fre10|cond 4 instructions|anx7|alt3|anx4|sed9|img8|ang2|trst2|sed8|alt6|trst6|alt4|sed6|sed7|anx6|anx9|greg1|anx10|ord7|ord2|trst5|anx2|trst4|art4|img2|bs1|Img1|art8|alt5|fre9|ang7|img7|art9|fre8|greg6|ang4|fre4|trst10|ang1,42.009506225586,-87.668899536133,-1,
